# Filter_Name FeII, lambda_c=1.647 mic, dlambda=0.0269 mic
# lambda (mic)	transmission
      1.60130    0.0102336
      1.60226    0.0103185
      1.60322    0.0104181
      1.60419    0.0103159
      1.60515    0.0102234
      1.60611    0.0104208
      1.60707    0.0104571
      1.60804    0.0106585
      1.60900    0.0106439
      1.60996    0.0107727
      1.61093    0.0110208
      1.61189    0.0112011
      1.61285    0.0113486
      1.61381    0.0115982
      1.61478    0.0118418
      1.61574    0.0121916
      1.61670    0.0125290
      1.61766    0.0130326
      1.61863    0.0136116
      1.61959    0.0144998
      1.62055    0.0155826
      1.62151    0.0169891
      1.62248    0.0187693
      1.62344    0.0213969
      1.62440    0.0251840
      1.62537    0.0303211
      1.62633    0.0377352
      1.62729    0.0485845
      1.62825    0.0647336
      1.62922    0.0886874
      1.63018     0.124663
      1.63114     0.176605
      1.63210     0.248485
      1.63307     0.340059
      1.63403     0.443114
      1.63499     0.545515
      1.63595     0.634471
      1.63692     0.698458
      1.63788     0.738529
      1.63884     0.758487
      1.63981     0.768737
      1.64077     0.774423
      1.64173     0.779084
      1.64269     0.784047
      1.64366     0.788290
      1.64462     0.790756
      1.64558     0.786659
      1.64654     0.779027
      1.64751     0.767349
      1.64847     0.753805
      1.64943     0.740251
      1.65039     0.729969
      1.65136     0.724369
      1.65232     0.723994
      1.65328     0.727138
      1.65425     0.728084
      1.65521     0.718513
      1.65617     0.686904
      1.65713     0.629045
      1.65810     0.544940
      1.65906     0.444608
      1.66002     0.343596
      1.66098     0.255574
      1.66195     0.185456
      1.66291     0.133644
      1.66387    0.0983508
      1.66483    0.0735948
      1.66580    0.0566175
      1.66676    0.0449251
      1.66772    0.0368181
      1.66869    0.0309351
      1.66965    0.0266247
      1.67061    0.0236393
      1.67157    0.0212859
      1.67254    0.0195697
      1.67350    0.0183104
      1.67446    0.0172098
      1.67542    0.0164566
      1.67639    0.0157332
      1.67735    0.0151934
      1.67831    0.0147318
      1.67927    0.0146299
      1.68024    0.0136153
      1.68120    0.0159597
      1.68216    0.0176451
      1.68313    0.0131724
      1.68409    0.0135795
      1.68505    0.0134310
      1.68601    0.0131132
      1.68698    0.0129634
      1.68794    0.0130209
      1.68890    0.0128694
      1.68986    0.0128024
      1.69083    0.0126960
      1.69179    0.0126993
      1.69275    0.0126468
      1.69371    0.0126026
      1.69468    0.0126069
      1.69564    0.0125398
      1.69660    0.0125127
      1.69757    0.0126539
      1.69853    0.0125263
      1.69949    0.0125180
