# Filter_Name H2v1-0, lambda_c=2.124 mic, dlambda=0.0327 mic
# lambda (mic)	transmission
      2.05183   0.00848275
      2.05279   0.00844141
      2.05375   0.00849032
      2.05471   0.00850129
      2.05568   0.00850597
      2.05664   0.00873401
      2.05760   0.00874511
      2.05856   0.00858191
      2.05953   0.00869077
      2.06049   0.00875057
      2.06145   0.00878106
      2.06241   0.00888444
      2.06338   0.00879620
      2.06434   0.00880808
      2.06530   0.00892730
      2.06627   0.00901958
      2.06723   0.00915112
      2.06819   0.00906297
      2.06915   0.00904556
      2.07012   0.00918652
      2.07108   0.00924372
      2.07204   0.00923668
      2.07300   0.00926612
      2.07397   0.00929048
      2.07493   0.00942469
      2.07589   0.00962678
      2.07685   0.00975097
      2.07782   0.00982578
      2.07878   0.00982148
      2.07974    0.0100045
      2.08071    0.0102502
      2.08167    0.0103336
      2.08263    0.0105458
      2.08359    0.0106893
      2.08456    0.0109242
      2.08552    0.0112736
      2.08648    0.0115519
      2.08744    0.0119370
      2.08841    0.0123844
      2.08937    0.0129436
      2.09033    0.0136707
      2.09129    0.0146069
      2.09226    0.0157552
      2.09322    0.0171431
      2.09418    0.0189540
      2.09515    0.0212369
      2.09611    0.0242695
      2.09707    0.0281825
      2.09803    0.0333201
      2.09900    0.0402445
      2.09996    0.0495355
      2.10092    0.0622512
      2.10188    0.0788213
      2.10285     0.101619
      2.10381     0.131675
      2.10477     0.170243
      2.10573     0.216917
      2.10670     0.270574
      2.10766     0.330955
      2.10862     0.392102
      2.10959     0.450274
      2.11055     0.504096
      2.11151     0.553035
      2.11247     0.594782
      2.11344     0.626519
      2.11440     0.649630
      2.11536     0.664992
      2.11632     0.673476
      2.11729     0.677695
      2.11825     0.677523
      2.11921     0.675573
      2.12017     0.671662
      2.12114     0.666973
      2.12210     0.663248
      2.12306     0.658028
      2.12403     0.653006
      2.12499     0.649217
      2.12595     0.644124
      2.12691     0.639475
      2.12788     0.635687
      2.12884     0.632977
      2.12980     0.628986
      2.13076     0.630749
      2.13173     0.632304
      2.13269     0.614267
      2.13365     0.599184
      2.13461     0.576731
      2.13558     0.547238
      2.13654     0.509838
      2.13750     0.465604
      2.13846     0.415550
      2.13943     0.363258
      2.14039     0.311646
      2.14135     0.260684
      2.14232     0.213706
      2.14328     0.171790
      2.14424     0.136736
      2.14520     0.108495
      2.14617    0.0859316
      2.14713    0.0683568
      2.14809    0.0552553
      2.14905    0.0456089
      2.15002    0.0381252
      2.15098    0.0324613
      2.15194    0.0284796
      2.15290    0.0251249
      2.15387    0.0227612
      2.15483    0.0210160
      2.15579    0.0192543
      2.15676    0.0178592
      2.15772    0.0170889
      2.15868    0.0164412
      2.15964    0.0156571
      2.16061    0.0151312
      2.16157    0.0147713
      2.16253    0.0142570
      2.16349    0.0140313
      2.16446    0.0138814
      2.16542    0.0135822
      2.16638    0.0135294
      2.16734    0.0129840
      2.16831    0.0127562
      2.16927    0.0126612
      2.17023    0.0126419
      2.17120    0.0124394
      2.17216    0.0122520
      2.17312    0.0121988
      2.17408    0.0122215
      2.17505    0.0121297
      2.17601    0.0118334
      2.17697    0.0118643
      2.17793    0.0120381
      2.17890    0.0120647
      2.17986    0.0118270
      2.18082    0.0117406
      2.18178    0.0117861
      2.18275    0.0117990
      2.18371    0.0118059
      2.18467    0.0118410
      2.18564    0.0118694
      2.18660    0.0117390
      2.18756    0.0118163
      2.18852    0.0118798
      2.18949    0.0118971
      2.19045    0.0118518
      2.19141    0.0118846
      2.19237    0.0119347
      2.19334    0.0119197
      2.19430    0.0118086
      2.19526    0.0117099
      2.19622    0.0118228
      2.19719    0.0119132
      2.19815    0.0119068
      2.19911    0.0117793
