# Filter_Name Kc, lambda_c=2.267 mic, dlambda=0.0327 mic
# lambda (mic)	transmission
      2.20104    0.0138648
      2.20200    0.0141550
      2.20296    0.0141200
      2.20393    0.0139447
      2.20489    0.0141696
      2.20585    0.0143389
      2.20681    0.0142044
      2.20778    0.0143250
      2.20874    0.0145347
      2.20970    0.0148544
      2.21066    0.0149416
      2.21163    0.0153229
      2.21259    0.0150286
      2.21355    0.0150514
      2.21452    0.0154375
      2.21548    0.0153804
      2.21644    0.0157370
      2.21740    0.0159774
      2.21837    0.0161929
      2.21933    0.0162919
      2.22029    0.0166926
      2.22125    0.0175209
      2.22222    0.0181503
      2.22318    0.0187365
      2.22414    0.0194888
      2.22510    0.0206151
      2.22607    0.0215450
      2.22703    0.0227818
      2.22799    0.0242356
      2.22896    0.0260591
      2.22992    0.0285497
      2.23088    0.0312054
      2.23184    0.0342576
      2.23281    0.0379944
      2.23377    0.0427776
      2.23473    0.0484133
      2.23569    0.0550141
      2.23666    0.0627397
      2.23762    0.0719211
      2.23858    0.0824520
      2.23954    0.0942010
      2.24051     0.107275
      2.24147     0.122167
      2.24243     0.138394
      2.24340     0.155328
      2.24436     0.174076
      2.24532     0.193506
      2.24628     0.214933
      2.24725     0.238221
      2.24821     0.262425
      2.24917     0.289493
      2.25013     0.318558
      2.25110     0.351151
      2.25206     0.386888
      2.25302     0.425764
      2.25398     0.467245
      2.25495     0.512561
      2.25591     0.557091
      2.25687     0.601269
      2.25784     0.639977
      2.25880     0.672269
      2.25976     0.696987
      2.26072     0.709867
      2.26169     0.713823
      2.26265     0.707857
      2.26361     0.693203
      2.26457     0.673559
      2.26554     0.652482
      2.26650     0.631341
      2.26746     0.611510
      2.26842     0.597243
      2.26939     0.586928
      2.27035     0.583003
      2.27131     0.585144
      2.27228     0.593667
      2.27324     0.608867
      2.27420     0.628775
      2.27516     0.650682
      2.27613     0.668650
      2.27709     0.675129
      2.27805     0.663671
      2.27901     0.629321
      2.27998     0.572376
      2.28094     0.496349
      2.28190     0.412174
      2.28286     0.332287
      2.28383     0.262107
      2.28479     0.205152
      2.28575     0.160594
      2.28672     0.126995
      2.28768     0.102623
      2.28864    0.0852536
      2.28960    0.0724548
      2.29057    0.0625103
      2.29153    0.0551633
      2.29249    0.0497447
      2.29345    0.0458763
      2.29442    0.0429117
      2.29538    0.0397123
      2.29634    0.0384197
      2.29730    0.0369029
      2.29827    0.0355196
      2.29923    0.0354387
      2.30019    0.0339788
      2.30116    0.0331795
      2.30212    0.0330781
      2.30308    0.0330973
      2.30404    0.0320186
      2.30501    0.0319212
      2.30597    0.0313963
      2.30693    0.0313510
      2.30789    0.0305821
      2.30886    0.0303718
      2.30982    0.0302930
      2.31078    0.0299734
      2.31174    0.0299192
      2.31271    0.0294980
      2.31367    0.0287459
      2.31463    0.0286881
      2.31560    0.0284403
      2.31656    0.0281714
      2.31752    0.0282919
      2.31848    0.0281659
      2.31945    0.0278170
      2.32041    0.0282475
      2.32137    0.0281260
      2.32233    0.0282313
      2.32330    0.0280129
      2.32426    0.0283930
      2.32522    0.0282716
      2.32618    0.0278050
      2.32715    0.0278499
      2.32811    0.0284828
      2.32907    0.0285883
      2.33004    0.0286030
      2.33100    0.0281888
      2.33196    0.0287618
      2.33292    0.0288795
      2.33389    0.0290623
      2.33485    0.0290688
      2.33581    0.0292988
      2.33677    0.0298785
      2.33774    0.0303152
      2.33870    0.0304430
      2.33966    0.0301847
