# %ECSV 0.9
# ---
# datatype:
# - {name: 'Wave[nm]', datatype: float64}
# - {name: 'Effic[%]', datatype: float64}
# delimiter: ','
# meta: !!omap
# - comments: [HHigh - efficiency provided by manufacturer]
# schema: astropy-2.0
Wave[nm],Effic[%]
1004.11,49.3485
1027.62,53.628
1045.59,55.9055
1102.34,60.2415
1104.24,60.3395
1130.33,60.5
1158.87,61.524
1177.07,61.584
1216.43,61.3695
1223.92,61.8275
1270.72,65.852
1331.38,69.574
1359.57,70.3165
1480.0,69.996
1495.1,69.742
1583.03,67.427
1622.45,66.797
1652.16,66.5555
1733.81,65.593
1765.13,65.021
1818.53,63.818
1906.43,62.0125
1907.72,61.992
2018.56,60.035
2041.53,59.464
2154.56,55.867
2170.32,55.294
2245.76,52.394
2261.89,51.593
2330.54,47.777
2356.52,46.32
2421.63,42.889
2454.27,41.797
2459.44,41.7565
