Wave[nm],Effic[%]
1299.15,35.449
1300.46,35.669
1327.79,39.49
1342.11,42.357
1355.11,43.312
1382.43,47.452
1398.04,48.726
1425.35,51.911
1453.97,55.414
1508.6,62.102
1537.21,65.287
1567.11,67.834
1599.63,71.338
1629.53,73.567
1659.43,76.115
1689.33,78.025
1719.22,79.936
1742.62,81.529
1773.79,81.847
1801.09,84.076
1830.96,83.758
1862.13,83.758
1893.3,84.395
1923.21,86.943
1954.36,85.987
1982.95,87.261
2003.72,86.306
2034.91,87.898
2066.06,86.943
2097.21,85.35
2128.41,87.261
2158.26,85.669
2188.12,85.35
