# %ECSV 0.9
# ---
# datatype:
# - {name: 'Wave[nm]', datatype: float64}
# - {name: 'Effic[%]', datatype: float64}
# delimiter: ','
# meta: !!omap
# - comments: [Jmed - efficiency from manufacturer]
# schema: astropy-2.0
Wave[nm],Effic[%]
599.02,7.10333333333
599.96,7.40611111111
697.48,32.3094444444
704.21,33.0011111111
793.82,43.03
797.52,44.0805555556
898.72,84.2461111111
902.75,85.6983333333
997.52,101.391111111
1000.7,101.428888889
1094.74,97.8161111111
1096.67,97.7022222222
1149.04,95.1472222222
1152.06,95.0083333333
1200.9,92.6522222222
1201.28,92.6344444444
1299.24,87.1061111111
1299.5,87.085
1386.58,79.0788888889
1395.06,78.5733333333
1502.29,74.6122222222
1504.28,74.4944444444
1591.86,65.3744444444
1600.82,64.405
1696.31,57.1788888889
1696.38,57.1755555556
1800.14,51.8877777778
1800.52,51.8511111111
1895.96,39.8394444444
1900.14,39.4444444444
1990.87,37.1577777778
2003.81,37.5761111111
2090.51,39.5744444444
2092.98,39.5211111111
2185.67,31.5905555556
2192.25,30.7027777778
2296.46,14.4005555556
2298.15,14.1211111111
