# %ECSV 0.9
# ---
# datatype:
# - {name: 'Wave[nm]', datatype: float64}
# - {name: 'Effic[%]', datatype: float64}
# delimiter: ','
# meta: !!omap
# - comments: [KHigh - efficiency obtained from m=2 (multiply *2)]
# schema: astropy-2.0
Wave[nm],Effic[%]
1799.102,47.188
1802.096,47.9785
1826.048,54.4925
1850.0,61.434
1854.492,62.6735
1887.426,70.6585
1900.898,73.22
1917.366,75.4025
1953.294,78.164
1959.282,78.514
2001.198,80.401
2002.694,80.442
2040.12,80.803
2041.616,80.806
2082.036,80.596
2086.526,80.541
2120.958,79.812
2134.432,79.3985
2161.378,78.525
2179.342,77.745
2201.796,76.61
2224.252,75.6625
2254.192,74.833
2267.664,74.469
2300.598,73.1245
2302.096,73.059
2336.526,71.469
2350.0,70.603
2372.456,69.085
2397.904,68.0025
2400.898,67.899
2438.324,66.652
2442.814,66.5035
2499.7,64.5365
2501.198,64.484
