# %ECSV 0.9
# ---
# datatype:
# - {name: 'Wave[nm]', datatype: float64}
# - {name: 'Effic[%]', datatype: float64}
# delimiter: ','
# meta: !!omap
# - comments: [Kmed - efficiency obtained from m=3 (wave*3)]
# schema: astropy-2.0
Wave[nm],Effic[%]
1799.913,7.56944444444
1801.206,7.68555555556
1858.254,13.8416666667
1863.456,14.62
1917.867,24.6144444444
1920.438,25.0811111111
1978.746,34.9161111111
1981.359,35.3783333333
2039.631,46.555
2040.948,46.7766666667
2099.256,56.1738888889
2100.543,56.3577777778
2158.89,62.8322222222
2158.899,62.8333333333
2221.176,66.1794444444
2222.469,66.2177777778
2279.598,66.5733333333
2280.885,66.5533333333
2339.337,64.4727777778
2340.639,64.3988888889
2400.432,60.025
2401.689,59.9227777778
2460.222,55.2488888889
2461.458,55.1533333333
2521.242,50.495
2523.888,50.2777777778
2578.428,45.8394444444
2579.76,45.7427777778
2639.526,41.76
2640.795,41.6705555556
2700.585,36.8738888889
