# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
1400 10.3703
1400.28003 14.2001
1400.56011 2.1837
1400.84025 6.52237
1401.12045 21.2615
1401.4007 2.27529
1401.68101 12.3205
1401.96137 437.648
1402.24179 51844.1
1402.52227 145.812
1402.8028 84.307
1403.08339 43.7465
1403.36404 97.8598
1403.64474 91.1438
1403.92549 63.2439
1404.20631 26.7886
1404.48718 316.461
1404.7681 21.2314
1405.04908 2.07288
1405.33012 8.62383
1405.61121 108.058
1405.89237 6086.98
1406.17357 102.463
1406.45483 128.633
1406.73615 16.9469
1407.01753 1021.7
1407.29896 5.29123
1407.58045 28.3913
1407.86199 127.896
1408.14359 130.661
1408.42525 63.7022
1408.70696 48687.7
1408.98873 20.7097
1409.27056 12.7393
1409.55244 2.32224
1409.83438 37.7257
1410.11638 2427.05
1410.39843 20899.5
1410.68053 7636.6
1410.9627 104.532
1411.24492 66.4707
1411.5272 74.7892
1411.80953 150.304
1412.09192 86.3717
1412.37437 29.7032
1412.65687 129.772
1412.93943 196.192
1413.22205 168.185
1413.50472 94488.4
1413.78745 89.3301
1414.07023 40.6271
1414.35308 43.9434
1414.63598 13.8423
1414.91893 36.9539
1415.20194 70.4841
1415.48501 58.1616
1415.76814 114.736
1416.05132 155.546
1416.33456 71261.2
1416.61785 121.84
1416.9012 117.341
1417.18461 140.018
1417.46808 103.826
1417.7516 84.8651
1418.03518 94.8438
1418.31881 176.997
1418.60251 113269
1418.88626 33.0304
1419.17006 3395.66
1419.45392 1910.9
1419.73784 69.809
1420.02182 61.4221
1420.30585 165.817
1420.58994 51.6445
1420.87409 126.383
1421.15829 113.595
1421.44255 137.335
1421.72687 142.202
1422.01124 179.984
1422.29567 169.708
1422.58016 4580.4
1422.8647 116.251
1423.14931 81.5564
1423.43396 60.5943
1423.71868 116.647
1424.00345 15.4728
1424.28828 179.546
1424.57317 195.085
1424.85811 151.222
1425.14311 176.093
1425.42817 116.615
1425.71328 64.5815
1425.99845 93.3154
1426.28368 192.658
1426.56897 8654.24
1426.85431 166.83
1427.13971 142.818
1427.42516 114.9
1427.71068 77.7129
1427.99625 154.319
1428.28188 65.9197
1428.56756 88.03
1428.8533 106.692
1429.1391 8843.56
1429.42496 8813.67
1429.71087 162.621
1429.99684 100.171
1430.28287 230.71
1430.56896 235.445
1430.8551 178.178
1431.1413 65.8979
1431.42756 118.661
1431.71387 55.2543
1432.00024 92.3187
1432.28667 80.4543
1432.57316 27.2077
1432.8597 137.678
1433.1463 178.106
1433.43296 211.68
1433.71967 129.563
1434.00645 148.693
1434.29328 40789.5
1434.58016 100.436
1434.86711 184.381
1435.15411 620.524
1435.44117 190.591
1435.72829 156152
1436.01546 98.568
1436.30269 139.037
1436.58998 184.015
1436.87733 5567.3
1437.16473 94.156
1437.45219 34208.2
1437.73971 33.0763
1438.02729 311.755
1438.31492 208.748
1438.60262 159.566
1438.89036 226.007
1439.17817 1761.68
1439.46604 62.0532
1439.75396 6080.54
1440.04194 186.746
1440.32997 4100.79
1440.61807 164.579
1440.90622 172.537
1441.19443 190.898
1441.4827 44.0226
1441.77103 187.468
1442.05941 633.08
1442.34785 154.791
1442.63635 1916.78
1442.9249 33.8076
1443.21352 195.536
1443.50219 241.397
1443.79092 227.429
1444.07971 184.586
1444.36855 137.355
1444.65745 229.02
1444.94641 233.116
1445.23543 146.052
1445.52451 46.6568
1445.81364 20.6193
1446.10283 300.399
1446.39208 230.191
1446.68139 260.648
1446.97075 17291.9
1447.26018 155.626
1447.54966 247.102
1447.8392 293.906
1448.12879 214.996
1448.41845 279.13
1448.70816 228.266
1448.99793 273.384
1449.28776 292.697
1449.57765 264.303
1449.86759 198.693
1450.15759 379.279
1450.44766 230.166
1450.73777 57.4631
1451.02795 94.8276
1451.31819 184.583
1451.60848 314.147
1451.89883 320609
1452.18924 146.001
1452.4797 2191.59
1452.77023 308.455
1453.06081 186.424
1453.35145 319.704
1453.64215 335.31
1453.93291 340.414
1454.22373 336.15
1454.5146 279.661
1454.80553 329.912
1455.09652 299.021
1455.38757 121.451
1455.67868 326.493
1455.96984 341.891
1456.26107 129111
1456.55235 412.737
1456.84369 313.547
1457.13508 361.622
1457.42654 324.959
1457.71805 223.724
1458.00963 379.398
1458.30126 393.87
1458.59295 348.615
1458.8847 391.533
1459.1765 374.94
1459.46837 382.69
1459.76029 358.887
1460.05227 352.515
1460.34431 126908
1460.63641 149382
1460.92856 380.547
1461.22078 232.736
1461.51305 337.076
1461.80538 323.479
1462.09777 369.729
1462.39022 384.694
1462.68273 377.981
1462.9753 263.351
1463.26792 136.793
1463.5606 488.315
1463.85335 504.27
1464.14615 382.535
1464.439 667.308
1464.73192 385.76
1465.0249 378.773
1465.31793 102.907
1465.61102 644.1
1465.90418 562.243
1466.19739 292.162
1466.49065 70949.7
1466.78398 257.579
1467.07737 362.874
1467.37081 338.556
1467.66432 287.091
1467.95788 530.126
1468.2515 351.852
1468.54518 332.992
1468.83892 372.864
1469.13271 280.146
1469.42657 275.959
1469.72049 70406.3
1470.01446 100595
1470.30849 9014.23
1470.60258 122.528
1470.89673 162.463
1471.19094 325.231
1471.48521 2281
1471.77953 275.533
1472.07392 328.461
1472.36836 101.41
1472.66287 217.915
1472.95743 351.648
1473.25205 242.492
1473.54673 318.395
1473.84147 15822.5
1474.13627 16804.6
1474.43112 369.1
1474.72604 334.965
1475.02101 369.416
1475.31605 356.696
1475.61114 17796.3
1475.90629 136.797
1476.2015 326.678
1476.49677 345.505
1476.7921 252.009
1477.08749 21140
1477.38294 22596.3
1477.67844 267.441
1477.97401 171.765
1478.26963 102704
1478.56532 353.659
1478.86106 300.387
1479.15686 335.49
1479.45272 179.623
1479.74864 324.812
1480.04462 92648.1
1480.34066 212.933
1480.63676 40305.5
1480.93291 337.156
1481.22913 347.587
1481.52541 305.421
1481.82174 185.692
1482.11813 214.121
1482.41459 336.542
1482.7111 330.069
1483.00767 297.806
1483.3043 215423
1483.60099 333.218
1483.89774 338.227
1484.19455 314.377
1484.49142 204.652
1484.78835 354.861
1485.08534 401.938
1485.38238 362.264
1485.67949 375.421
1485.97666 416.206
1486.27388 464.345
1486.57117 79731.7
1486.86851 429.997
1487.16591 411.225
1487.46338 484.803
1487.7609 576.464
1488.05848 440.173
1488.35612 516.349
1488.65382 299306
1488.95158 623.71
1489.2494 700.474
1489.54728 534.167
1489.84522 612.786
1490.14322 759.8
1490.44128 794.351
1490.7394 17609.2
1491.03757 17557.9
1491.33581 608.564
1491.63411 738.506
1491.93247 811.723
1492.23088 847.131
1492.52936 863.542
1492.82789 831.714
1493.12649 103016
1493.42514 957.454
1493.72386 1018.54
1494.02263 912.484
1494.32147 996.41
1494.62036 1078.34
1494.91932 946.611
1495.21833 982.158
1495.5174 1116.67
1495.81654 965.688
1496.11573 1179.69
1496.41498 943.918
1496.7143 1141.3
1497.01367 1244.11
1497.3131 1247.25
1497.61259 1163.05
1497.91215 1189.82
1498.21176 1085.69
1498.51143 1212.96
1498.81116 1264.73
1499.11096 1190.27
1499.41081 1259.07
1499.71072 1175.57
1500.01069 1292.89
1500.31072 1305.71
1500.61082 5720.94
1500.91097 1299.13
1501.21118 1292.2
1501.51145 1316.78
1501.81179 1174.41
1502.11218 1330.05
1502.41263 5476.91
1502.71314 5122.77
1503.01372 1322.41
1503.31435 1270.86
1503.61504 1264.15
1503.9158 1046.38
1504.21661 1331.62
1504.51748 1265.95
1504.81842 1141.87
1505.11941 1336.93
1505.42046 845496
1505.72158 1340.61
1506.02275 1394.5
1506.32399 25970.7
1506.62528 1406.45
1506.92664 265146
1507.22805 1326.27
1507.52953 1418.49
1507.83106 1414.53
1508.13266 10329.7
1508.43432 1290.07
1508.73603 45090.6
1509.03781 1309.62
1509.33965 1445.22
1509.64155 1453.72
1509.94351 1460.1
1510.24552 1413.54
1510.5476 1457.06
1510.84974 4484.15
1511.15194 1449.65
1511.4542 23536.6
1511.75653 1480.28
1512.05891 1494.9
1512.36135 1432.07
1512.66385 1500.02
1512.96641 1444.35
1513.26904 1946.05
1513.57172 1867.43
1513.87447 2232.15
1514.17727 1466.42
1514.48014 6428.83
1514.78306 1489.49
1515.08605 3107.72
1515.3891 1544.58
1515.69221 1541.93
1515.99538 1556.49
1516.2986 1474.41
1516.60189 1561.1
1516.90525 1500.93
1517.20866 1553.15
1517.51213 1501.55
1517.81566 1753.73
1518.11926 1590.86
1518.42291 2386.21
1518.72662 164936
1519.0304 1528.46
1519.33424 1562.81
1519.63813 1601.34
1519.94209 1607.54
1520.24611 1617.16
1520.55019 1594.32
1520.85433 1635.04
1521.15853 1632.64
1521.46279 1618.23
1521.76712 1567.75
1522.0715 1596.46
1522.37595 1615.3
1522.68045 1640.58
1522.98502 1629.24
1523.28965 1545.73
1523.59433 1530.2
1523.89908 1531.04
1524.20389 559378
1524.50876 1467.47
1524.8137 1493.48
1525.11869 1471.12
1525.42374 1464.47
1525.72886 1439.55
1526.03404 1446.67
1526.33927 1427.5
1526.64457 1401.28
1526.94993 1552.28
1527.25535 1381.41
1527.56083 1394.26
1527.86638 1387.72
1528.17198 1491.61
1528.47764 1473.93
1528.78337 201505
1529.08916 1338.18
1529.39501 1326.58
1529.70092 1300.38
1530.00689 1303.3
1530.31292 1277.49
1530.61901 1280.12
1530.92517 1267.43
1531.23138 1234.98
1531.53766 1240.93
1531.844 1233.19
1532.1504 1222.83
1532.45686 1209.44
1532.76338 1197.06
1533.06996 287241
1533.37661 288185
1533.68331 1161.29
1533.99008 1144.53
1534.29691 1137.24
1534.6038 1131.55
1534.91075 1111.52
1535.21776 1095.25
1535.52484 1091.77
1535.83197 1077.34
1536.13917 1068.11
1536.44643 1060.51
1536.75375 1049.74
1537.06113 1034.83
1537.36857 1034.26
1537.67608 1024.79
1537.98364 1013.06
1538.29127 1000.03
1538.59896 1028.15
1538.90671 980.094
1539.21452 985.791
1539.5224 153281
1539.83033 942.911
1540.13833 924.577
1540.44639 1312.94
1540.75451 901.163
1541.06269 1147.63
1541.37093 888.774
1541.67924 867.013
1541.9876 856.261
1542.29603 861.512
1542.60452 849.455
1542.91307 3267.65
1543.22169 367156
1543.53036 807.345
1543.8391 2213.38
1544.1479 780.719
1544.45676 779.445
1544.76568 778.527
1545.07467 773.962
1545.38371 769.605
1545.69282 765.021
1546.00199 760.692
1546.31122 12287.5
1546.62051 752.255
1546.92987 748.606
1547.23929 746.881
1547.54876 7078.08
1547.8583 735.015
1548.16791 731.596
1548.47757 727.283
1548.7873 722.599
1549.09709 718.477
1549.40694 714.131
1549.71685 709.079
1550.02682 43097.1
1550.33686 701.274
1550.64696 696.302
