# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Transmission[no-units]
1150 0.520345
1150.08581 0.683578
1150.17163 0.787132
1150.25745 0.885737
1150.34328 0.932926
1150.42912 0.931775
1150.51496 0.919277
1150.60081 0.931773
1150.68667 0.917396
1150.77253 0.788958
1150.8584 0.659042
1150.94428 0.794043
1151.03016 0.913536
1151.11605 0.901344
1151.20194 0.795002
1151.28784 0.648965
1151.37375 0.701142
1151.45966 0.869034
1151.54558 0.951015
1151.63151 0.964214
1151.71744 0.961642
1151.80338 0.939173
1151.88933 0.852709
1151.97528 0.66324
1152.06124 0.559668
1152.1472 0.74113
1152.23318 0.896731
1152.31915 0.937087
1152.40514 0.926536
1152.49113 0.824049
1152.57713 0.565695
1152.66313 0.31232
1152.74914 0.386354
1152.83516 0.706961
1152.92118 0.901131
1153.00721 0.952633
1153.09324 0.964944
1153.17929 0.964756
1153.26533 0.950824
1153.35139 0.931626
1153.43745 0.926232
1153.52352 0.897029
1153.60959 0.821791
1153.69567 0.7567
1153.78176 0.786113
1153.86785 0.836189
1153.95395 0.767134
1154.04006 0.643868
1154.12617 0.753893
1154.21229 0.838283
1154.29842 0.808173
1154.38455 0.755134
1154.47069 0.698878
1154.55683 0.823444
1154.64298 0.935365
1154.72914 0.958563
1154.81531 0.947742
1154.90148 0.858431
1154.98765 0.754177
1155.07384 0.840335
1155.16003 0.93794
1155.24622 0.953328
1155.33243 0.898275
1155.41864 0.833693
1155.50485 0.887777
1155.59107 0.91033
1155.6773 0.747703
1155.76354 0.545876
1155.84978 0.677619
1155.93603 0.873876
1156.02228 0.941932
1156.10854 0.955334
1156.19481 0.957204
1156.28108 0.951677
1156.36736 0.914199
1156.45365 0.811685
1156.53994 0.745508
1156.62624 0.852991
1156.71255 0.939704
1156.79886 0.953461
1156.88518 0.953452
1156.9715 0.965546
1157.05783 0.963088
1157.14417 0.904986
1157.23052 0.839284
1157.31687 0.880895
1157.40322 0.904014
1157.48959 0.909764
1157.57596 0.93688
1157.66233 0.917366
1157.74872 0.779193
1157.83511 0.609694
1157.9215 0.715733
1158.0079 0.894395
1158.09431 0.962033
1158.18073 0.971578
1158.26715 0.96001
1158.35358 0.937143
1158.44001 0.909575
1158.52645 0.889752
1158.6129 0.935253
1158.69936 0.968863
1158.78582 0.956301
1158.87228 0.844277
1158.95876 0.693649
1159.04524 0.761756
1159.13172 0.890097
1159.21822 0.95393
1159.30471 0.967407
1159.39122 0.957973
1159.47773 0.946922
1159.56425 0.929046
1159.65078 0.872771
1159.73731 0.81056
1159.82384 0.886131
1159.91039 0.955018
1159.99694 0.942401
1160.0835 0.899834
1160.17006 0.905203
1160.25663 0.880125
1160.34321 0.757362
1160.42979 0.717786
1160.51638 0.858598
1160.60298 0.947202
1160.68958 0.92623
1160.77619 0.878217
1160.8628 0.899063
1160.94942 0.949549
1161.03605 0.973227
1161.12269 0.965454
1161.20933 0.938476
1161.29598 0.929501
1161.38263 0.911531
1161.46929 0.872078
1161.55596 0.909174
1161.64263 0.939805
1161.72931 0.936963
1161.816 0.95817
1161.90269 0.971331
1161.98939 0.963949
1162.0761 0.950121
1162.16281 0.939335
1162.24953 0.872073
1162.33625 0.787032
1162.42299 0.857394
1162.50972 0.917442
1162.59647 0.946963
1162.68322 0.968441
1162.76998 0.973551
1162.85674 0.977643
1162.94351 0.981064
1163.03029 0.981285
1163.11707 0.977535
1163.20386 0.97217
1163.29066 0.971175
1163.37746 0.968278
1163.46427 0.961287
1163.55109 0.932683
1163.63791 0.913635
1163.72474 0.907505
1163.81157 0.88573
1163.89842 0.930892
1163.98527 0.968858
1164.07212 0.967843
1164.15898 0.961277
1164.24585 0.96536
1164.33272 0.967525
1164.4196 0.970935
1164.50649 0.972429
1164.59339 0.967939
1164.68029 0.967207
1164.76719 0.967178
1164.85411 0.949341
1164.94103 0.925216
1165.02795 0.931464
1165.11488 0.934196
1165.20182 0.898011
1165.28877 0.888798
1165.37572 0.935456
1165.46268 0.970248
1165.54964 0.976205
1165.63662 0.952618
1165.72359 0.890328
1165.81058 0.844086
1165.89757 0.879086
1165.98457 0.925676
1166.07157 0.936428
1166.15858 0.956649
1166.2456 0.970137
1166.33262 0.974815
1166.41965 0.966663
1166.50669 0.956077
1166.59373 0.957607
1166.68078 0.924698
1166.76784 0.882758
1166.8549 0.92577
1166.94197 0.96106
1167.02904 0.95991
1167.11613 0.949237
1167.20321 0.935617
1167.29031 0.958187
1167.37741 0.975851
1167.46452 0.976934
1167.55163 0.975835
1167.63875 0.961598
1167.72588 0.937137
1167.81302 0.939108
1167.90016 0.95592
1167.9873 0.965032
1168.07446 0.976743
1168.16162 0.980048
1168.24878 0.963064
1168.33596 0.927058
1168.42314 0.909045
1168.51032 0.935668
1168.59751 0.965816
1168.68471 0.976109
1168.77192 0.968397
1168.85913 0.959978
1168.94635 0.970047
1169.03357 0.980373
1169.12081 0.980198
1169.20804 0.971282
1169.29529 0.950851
1169.38254 0.930586
1169.4698 0.929059
1169.55706 0.951533
1169.64433 0.975279
1169.73161 0.98373
1169.81889 0.982885
1169.90618 0.979249
1169.99348 0.976283
1170.08078 0.97416
1170.16809 0.964766
1170.25541 0.954256
1170.34273 0.948953
1170.43006 0.94972
1170.5174 0.949035
1170.60474 0.947374
1170.69209 0.964981
1170.77944 0.976631
1170.8668 0.974117
1170.95417 0.949633
1171.04155 0.917824
1171.12893 0.944463
1171.21632 0.974521
1171.30371 0.979179
1171.39111 0.978368
1171.47852 0.980822
1171.56593 0.983397
1171.65335 0.981451
1171.74078 0.973082
1171.82821 0.958828
1171.91565 0.951968
1172.0031 0.968482
1172.09055 0.979659
1172.17801 0.977131
1172.26548 0.943582
1172.35295 0.905495
1172.44043 0.942106
1172.52792 0.976619
1172.61541 0.980389
1172.70291 0.976403
1172.79041 0.965758
1172.87793 0.951035
1172.96544 0.958234
1173.05297 0.962784
1173.1405 0.959885
1173.22804 0.959623
1173.31558 0.974036
1173.40313 0.981546
1173.49069 0.970742
1173.57826 0.945088
1173.66583 0.935117
1173.7534 0.94937
1173.84099 0.914787
1173.92858 0.849042
1174.01618 0.863235
1174.10378 0.891765
1174.19139 0.878339
1174.27901 0.902143
1174.36663 0.940918
1174.45426 0.970955
1174.54189 0.983602
1174.62954 0.984809
1174.71719 0.980814
1174.80484 0.973206
1174.8925 0.971849
1174.98017 0.977824
1175.06785 0.982963
1175.15553 0.980659
1175.24322 0.960184
1175.33091 0.917791
1175.41861 0.89725
1175.50632 0.927579
1175.59404 0.961775
1175.68176 0.974716
1175.76948 0.976918
1175.85722 0.981027
1175.94496 0.984811
1176.03271 0.985963
1176.12046 0.986034
1176.20822 0.985427
1176.29599 0.984532
1176.38376 0.984754
1176.47154 0.984376
1176.55933 0.978335
1176.64712 0.970913
1176.73492 0.976926
1176.82273 0.983928
1176.91054 0.985536
1176.99836 0.984336
1177.08618 0.98016
1177.17402 0.977406
1177.26186 0.978402
1177.3497 0.963978
1177.43755 0.937279
1177.52541 0.910141
1177.61328 0.866968
1177.70115 0.858975
1177.78903 0.862266
1177.87691 0.904867
1177.9648 0.958992
1178.0527 0.9811
1178.14061 0.984071
1178.22852 0.978342
1178.31644 0.944781
1178.40436 0.908386
1178.49229 0.943578
1178.58023 0.973522
1178.66817 0.975995
1178.75612 0.981173
1178.84408 0.985237
1178.93204 0.985922
1179.02001 0.985884
1179.10799 0.985633
1179.19597 0.984923
1179.28396 0.983719
1179.37196 0.977171
1179.45996 0.934351
1179.54797 0.880064
1179.63599 0.913074
1179.72401 0.941818
1179.81204 0.936015
1179.90008 0.960407
1179.98812 0.977388
1180.07617 0.977138
1180.16422 0.981345
1180.25228 0.984505
1180.34035 0.982271
1180.42843 0.978809
1180.51651 0.981083
1180.6046 0.982767
1180.69269 0.97962
1180.7808 0.972346
1180.8689 0.963828
1180.95702 0.965703
1181.04514 0.976252
1181.13327 0.979125
1181.2214 0.964071
1181.30954 0.941638
1181.39769 0.952353
1181.48584 0.967807
1181.574 0.969519
1181.66217 0.95855
