# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
2100 0.727929
2100.03264 0.96048
2100.06528 0.986735
2100.09791 0.981444
2100.13055 0.978365
2100.16319 0.982235
2100.19583 0.986339
2100.22847 0.986032
2100.26111 0.983055
2100.29375 0.977897
2100.3264 0.965033
2100.35904 0.943587
2100.39168 0.931496
2100.42432 0.936536
2100.45697 0.948379
2100.48961 0.968088
2100.52226 0.980238
2100.5549 0.985932
2100.58755 0.987465
2100.6202 0.986131
2100.65284 0.986269
2100.68549 0.989037
2100.71814 0.991618
2100.75079 0.992646
2100.78344 0.992433
2100.81609 0.991493
2100.84874 0.990684
2100.88139 0.989599
2100.91404 0.987351
2100.94669 0.986622
2100.97934 0.986939
2101.01199 0.986845
2101.04465 0.978502
2101.0773 0.963721
2101.10995 0.96547
2101.14261 0.980631
2101.17526 0.988946
2101.20792 0.989787
2101.24058 0.989452
2101.27323 0.989289
2101.30589 0.986183
2101.33855 0.98268
2101.3712 0.985129
2101.40386 0.988022
2101.43652 0.987474
2101.46918 0.985604
2101.50184 0.984203
2101.5345 0.980646
2101.56716 0.968773
2101.59983 0.945724
2101.63249 0.927895
2101.66515 0.927172
2101.69781 0.90188
2101.73048 0.831456
2101.76314 0.791876
2101.79581 0.850757
2101.82847 0.926552
2101.86114 0.964457
2101.8938 0.978426
2101.92647 0.984085
2101.95914 0.987075
2101.99181 0.988379
2102.02447 0.988246
2102.05714 0.986897
2102.08981 0.985308
2102.12248 0.98552
2102.15515 0.986117
2102.18782 0.988048
2102.22049 0.989519
2102.25317 0.989821
2102.28584 0.990174
2102.31851 0.989398
2102.35118 0.983241
2102.38386 0.969378
2102.41653 0.962844
2102.44921 0.974135
2102.48188 0.984592
2102.51456 0.989116
2102.54724 0.990208
2102.57991 0.98975
2102.61259 0.990966
2102.64527 0.992656
2102.67795 0.99338
2102.71063 0.993407
2102.7433 0.993094
2102.77598 0.99212
2102.80867 0.99014
2102.84135 0.988821
2102.87403 0.990361
2102.90671 0.992202
2102.93939 0.992351
2102.97208 0.990584
2103.00476 0.986029
2103.03744 0.974476
2103.07013 0.964074
2103.10281 0.974798
2103.1355 0.986536
2103.16818 0.989314
2103.20087 0.988773
2103.23356 0.989482
2103.26625 0.991464
2103.29893 0.992521
2103.33162 0.992369
2103.36431 0.991554
2103.397 0.990562
2103.42969 0.990164
2103.46238 0.99084
2103.49507 0.99151
2103.52776 0.990912
2103.56046 0.988811
2103.59315 0.987039
2103.62584 0.987773
2103.65854 0.986906
2103.69123 0.979802
2103.72392 0.97061
2103.75662 0.973551
